PG.Qvalue	PG.ProteinGroups	PG.ProteinAccessions	PG.ProteinDescriptions	PG.ProteinNames	PG.FastaFiles	PG.NrOfPrecursorsIdentified (Experiment-wide)	[1] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S1.raw.PG.Quantity	[2] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S2.raw.PG.Quantity	[3] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S3.raw.PG.Quantity	[4] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S4.raw.PG.Quantity	[5] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S5.raw.PG.Quantity	[6] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S6.raw.PG.Quantity	[7] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S7.raw.PG.Quantity	[8] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S8.raw.PG.Quantity	[9] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S9.raw.PG.Quantity	[1] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S1.raw.PG.IBAQ	[2] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S2.raw.PG.IBAQ	[3] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S3.raw.PG.IBAQ	[4] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S4.raw.PG.IBAQ	[5] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S5.raw.PG.IBAQ	[6] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S6.raw.PG.IBAQ	[7] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S7.raw.PG.IBAQ	[8] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S8.raw.PG.IBAQ	[9] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S9.raw.PG.IBAQ
1	A0ZZA6_Decoy	A0ZZA6	NaN	A0ZZA6	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,0018544963334619837	A0ZZB0	A0ZZB0	Carbonic anhydrase	A0ZZB0_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	1	5871,53662109375	3712,572998046875	3745,3271484375	4473,53564453125	4459,3603515625	4170,5751953125	NaN	NaN	NaN	533,8	337,5	340,5	406,7	405,4	379,1	NaN	NaN	NaN
1	A0ZZB0_Decoy	A0ZZB0	NaN	A0ZZB0	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,12376231527093597	A0ZZB8	A0ZZB8	Rv2525c-like glycoside hydrolase-like domain-containing protein	A0ZZB8_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0ZZC2	A0ZZC2	Phosphoenolpyruvate carboxylase	A0ZZC2_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	25	18320,22265625	19567,517578125	16639,978515625	21050,56640625	15731,96875	18742,14453125	6055,76953125	3026,64404296875	5233,0146484375	3493,1	4316,5	3251,5	4089,5	3093,7	3928,1	551,3	359,3	409,8
1	A0ZZC2_Decoy	A0ZZC2	NaN	A0ZZC2	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0ZZC5	A0ZZC5	Tryptophan--tRNA ligase	A0ZZC5_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	12	4957,8134765625	10160,873046875	9150,9140625	9618,1142578125	9104,25390625	9769,7373046875	606,45166015625	682,4904174804688	1066,2791748046875	3262,9	4054	3554,2	4078,7	3146,4	3761,6	87,1	71,9	68,7
1	A0ZZC5_Decoy	A0ZZC5	NaN	A0ZZC5	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0ZZC8	A0ZZC8	Alpha-1,4 glucan phosphorylase	A0ZZC8_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	26	16926,951171875	22354,45703125	20733,1015625	28666,626953125	24120,21875	31272,333984375	3279,072265625	NaN	4342,90576171875	5313,5	5329,8	4189,5	6350,2	5331	6525,2	221,6	NaN	132
1	A0ZZC8_Decoy	A0ZZC8	NaN	A0ZZC8	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,001610305958132045	A0ZZD1	A0ZZD1	N6-adenine-specific methylase	A0ZZD1_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	4	2392,0908203125	2608,951416015625	2820,806884765625	3468,60986328125	2787,675537109375	3982,288818359375	NaN	NaN	NaN	368,9	321,4	384,2	474,6	366,1	546,8	NaN	NaN	NaN
0,0004419889502762431	A0ZZD2	A0ZZD2	Cell division protein CrgA	A0ZZD2_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	2	NaN	2299,020751953125	4675,49560546875	3680,71142578125	3679,3427734375	6207,82177734375	10523,7939453125	1015,5671997070312	NaN	NaN	604,5	1226,9	1195	1973,9	1756,1	624,3	60,2	NaN
0,004919423240033927	A0ZZD4	A0ZZD4	Class E sortase	A0ZZD4_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	2	4900,66259765625	4903,029296875	4906,32373046875	5437,33837890625	5258,17578125	5637,35009765625	NaN	NaN	NaN	455,7	475	478,9	489,1	506,9	546,7	NaN	NaN	NaN
1	A0ZZD4_Decoy	A0ZZD4	NaN	A0ZZD4	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0ZZD6	A0ZZD6	non-specific serine/threonine protein kinase	A0ZZD6_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	19	62867,45703125	90743,2578125	76631,34375	100832,8984375	61451,15234375	104132,421875	NaN	NaN	614787,0625	8671	11565	10054,5	11756	9480,8	12396,8	NaN	NaN	3523,9
1	A0ZZD6_Decoy	A0ZZD6	NaN	A0ZZD6	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0ZZD7	A0ZZD7	non-specific serine/threonine protein kinase	A0ZZD7_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	8	19729,5859375	10917,7255859375	16824,28515625	22834,212890625	27691,302734375	24501,62109375	35555,328125	44930,70703125	NaN	3438,2	9164,7	6266,8	7020,7	6373,2	7890,9	472,8	597,4	NaN
1	A0ZZD7_Decoy	A0ZZD7	NaN	A0ZZD7	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,006129887342611001	A0ZZD8	A0ZZD8	Probable penicillin binding protein transpeptidase	A0ZZD8_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	4	1144,1129150390625	2036,298095703125	882,5098266601562	1661,7738037109375	5867,36865234375	1808,612060546875	NaN	NaN	NaN	101,6	215,7	13,2	156,6	569,6	184,7	NaN	NaN	NaN
1	A0ZZD8_Decoy	A0ZZD8	NaN	A0ZZD8	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,001774622892635315	A0ZZE0	A0ZZE0	Possible phosphoprotein phosphatase	A0ZZE0_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	2	12176,6005859375	15231,166015625	13543,5263671875	13435,7734375	12631,40234375	19136,974609375	1156,91259765625	NaN	NaN	916,7	1143	1141,6	204,3	1119,6	1354,2	17,6	NaN	NaN
0,0013977635782747603	A0ZZE2	A0ZZE2	FHA domain-containing protein	A0ZZE2_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	9	14988,1123046875	16460,033203125	15026,7109375	18292,076171875	16437,845703125	17861,7109375	NaN	NaN	1409,59765625	6515,9	7193,1	6843	6564,6	7415	7032,9	NaN	NaN	143,4
0,002106002106002106	A0ZZE3	A0ZZE3	Probable dipeptidyl peptidase IV	A0ZZE3_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	3	3324,923095703125	3832,273681640625	3773,52587890625	3221,34033203125	3502,28369140625	4874,30029296875	NaN	NaN	NaN	94,2	204,9	440,7	258,5	260,5	345,3	NaN	NaN	NaN
0,4524755455229496	A0ZZE6	A0ZZE6	Serine aminopeptidase S33 domain-containing protein	A0ZZE6_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,001610305958132045	A0ZZF4	A0ZZF4	Queuine tRNA-ribosyltransferase	A0ZZF4_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	4	7006,97412109375	7654,767578125	6907,95068359375	10556,8134765625	5766,158203125	8851,123046875	NaN	NaN	NaN	106,2	760,7	742	1923,1	1738,6	872,3	NaN	NaN	NaN
0	A0ZZF5	A0ZZF5	Possible DO serine protease	A0ZZF5_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	14	40038,58203125	50617,72265625	46850,94921875	45323,00390625	40863,7734375	47024,60546875	5480,28271484375	3742,383056640625	6679,00634765625	8360	9798,7	8768,8	8593,4	7756,8	9228,6	836	682,5	920,1
1	A0ZZF5_Decoy	A0ZZF5	NaN	A0ZZF5	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,001610305958132045	A0ZZF6	A0ZZF6	Probable cation-transporting ATPase V	A0ZZF6_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	6	2053,045166015625	2582,78466796875	2614,58154296875	3201,17626953125	3171,325439453125	3264,373779296875	NaN	NaN	NaN	205,8	550,7	312,8	560,1	355,5	519,2	NaN	NaN	NaN
0,004919423240033927	A0ZZF7	A0ZZF7	asparaginase	A0ZZF7_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	1	20818,6484375	22523,0078125	15782,6103515625	18643,248046875	16918,40625	7596,2958984375	NaN	NaN	NaN	1387,9	1501,5	1052,2	1242,9	1127,9	506,4	NaN	NaN	NaN
0	A0ZZF9	A0ZZF9	ferredoxin--NADP(+) reductase	A0ZZF9_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	34	598717,8125	584226,875	601850,4375	757444,8125	520527,4375	751835,9375	123488,5234375	143244,484375	204881,96875	60481,398	94375,703	83350,297	103113,898	93505,703	105565	2126,4	1635,8	2411,3
1	A0ZZF9_Decoy	A0ZZF9	NaN	A0ZZF9	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,001610305958132045	A0ZZG0	A0ZZG0	Protease HtpX homolog	A0ZZG0_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	2	NaN	3955,649169921875	1122,7913818359375	3114,5341796875	2103,7001953125	3339,020751953125	NaN	NaN	NaN	NaN	366,4	98,9	274,4	232,7	294,2	NaN	NaN	NaN
1	A0ZZG0_Decoy	A0ZZG0	NaN	A0ZZG0	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0ZZG4	A0ZZG4	Fructose-bisphosphate aldolase	A0ZZG4_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	7	4474,1787109375	7598,84326171875	4428,12939453125	5254,39404296875	5061,345703125	5022,94482421875	NaN	652,5054321289062	1072,617431640625	782,4	1562,4	725,5	962,7	1089,6	951,2	NaN	51,8	108,2
0,001056859015007398	A0ZZG5	A0ZZG5	Adenylosuccinate synthetase	PURA_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	11	14401,1806640625	14177,4892578125	12823,4580078125	14434,7587890625	9896,248046875	14270,634765625	1290,4105224609375	1073,0919189453125	2931,98779296875	4286,2	4332,3	3927,3	4592,5	3116,8	4471,3	434,5	182,4	364,5
1	A0ZZG5_Decoy	A0ZZG5	NaN	A0ZZG5	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,006129887342611001	A0ZZH3	A0ZZH3	LacI-type transcriptional regulator	A0ZZH3_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	1	6827,62109375	6024,71875	4404,21142578125	6120,298828125	3740,35205078125	6616,00634765625	NaN	NaN	NaN	310,3	273,9	200,2	278,2	170	300,7	NaN	NaN	NaN
0	A0ZZH6	A0ZZH6	Sucrose phosphorylase	SUCP_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	7	14503,884765625	31214,564453125	19883,845703125	4737,916015625	3218,877685546875	5217,37841796875	39857,078125	NaN	3491,88916015625	2438	4614,8	2457,1	564,3	275	634,5	1260,1	NaN	186,7
0,0001639344262295082	A0ZZH9	A0ZZH9	Ketol-acid reductoisomerase (NADP(+))	A0ZZH9_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	1	5123,03466796875	6179,93115234375	6209,75732421875	8121,19287109375	6729,62890625	7689,140625	3258,203125	1642,9464111328125	3628,689697265625	269,6	325,3	326,8	427,4	354,2	404,7	171,5	86,5	191
0	A0ZZI0	A0ZZI0	Ketol-acid reductoisomerase (NADP(+))	A0ZZI0_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	19	81269,3046875	101104,96875	84207,765625	102964,453125	79602,9296875	102467,078125	18309,859375	13745,3017578125	18409,619140625	14876,7	17565,1	16600,801	19443,801	15374,4	19366,6	2640,9	1939,2	2464,6
1	A0ZZI0_Decoy	A0ZZI0	NaN	A0ZZI0	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,523477542436533	A0ZZI1	A0ZZI1	Sialic acid-specific 9-O-acetylesterase	A0ZZI1_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,9826120510537252	A0ZZI3	A0ZZI3	Large transmembrane protein possibly involved in transport	A0ZZI3_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,22263021626561072	A0ZZI6	A0ZZI6	Amino acid permease	A0ZZI6_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0ZZI7	A0ZZI7	Thiazole synthase	A0ZZI7_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	18	74573,8359375	79260,2890625	69987,5625	99115,515625	81113,7265625	100561,4140625	7298,119140625	6560,1455078125	8960,6904296875	27876,6	33338,602	28951	39137,602	27891	39781,398	1981,7	935,2	1194,8
1	A0ZZI7_Decoy	A0ZZI7	NaN	A0ZZI7	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0ZZI8	A0ZZI8	Thiamine biosynthesis protein ThiF	A0ZZI8_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	11	7918,95166015625	11162,4658203125	9048,998046875	12217,0517578125	11150,4912109375	11926,8427734375	NaN	NaN	NaN	3333,4	5008,8	3668,4	6208,4	4576,9	6184,2	NaN	NaN	NaN
1	A0ZZI8_Decoy	A0ZZI8	NaN	A0ZZI8	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,00598702810577083	A0ZZI9	A0ZZI9	Possible oxidoreductase in aldo-keto reductase family	A0ZZI9_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	2	4588,78466796875	2038,784423828125	4578,92529296875	2554,6611328125	1971,8131103515625	3795,798095703125	NaN	NaN	NaN	329,1	169,7	357,1	347,3	258	305,1	NaN	NaN	NaN
0	A0ZZJ1	A0ZZJ1	Probable permease protein of ABC transporter system	A0ZZJ1_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	6	2973,71875	4427,6943359375	6043,68505859375	6102,80517578125	5809,31787109375	7038,271484375	NaN	NaN	NaN	488,1	511,5	691	643	626,5	719,5	NaN	NaN	NaN
1	A0ZZJ1_Decoy	A0ZZJ1	NaN	A0ZZJ1	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,010376756066411238	A0ZZJ2	A0ZZJ2	Fatty acid ABC transporter ATP-binding/permease protein	A0ZZJ2_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0ZZJ3	A0ZZJ3	Oxidoreductase	A0ZZJ3_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	18	133957,015625	133166,53125	129519,1796875	159608,234375	148525,328125	174136,609375	18425,537109375	11063,8779296875	22410,966796875	40258,102	43236,699	39708,898	48741,602	40126,801	55032	4465,1	2479,3	5644,2
1	A0ZZJ3_Decoy	A0ZZJ3	NaN	A0ZZJ3	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,018108369617803582	A0ZZJ6	A0ZZJ6	Amino acid ABC transporter substrate-binding protein	A0ZZJ6_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0ZZK6	A0ZZK6	Dipeptidase	A0ZZK6_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	5	2473,40869140625	2181,064697265625	2155,481201171875	2552,22509765625	1827,8748779296875	1787,2584228515625	NaN	NaN	NaN	296,2	497,3	601,4	554,4	400,9	401,6	NaN	NaN	NaN
0	A0ZZK9	A0ZZK9	Signal recognition particle receptor FtsY	A0ZZK9_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	5	4997,24267578125	7732,1259765625	6382,99169921875	8424,2880859375	6410,3095703125	8288,5771484375	NaN	NaN	679,6664428710938	861,5	1502,2	1051,3	1331,2	852,1	1471,3	NaN	NaN	12,6
1	A0ZZK9_Decoy	A0ZZK9	NaN	A0ZZK9	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0ZZL1;B7GTC9	A0ZZL1;B7GTC9	Ammonium transporter	A0ZZL1_BIFAA;B7GTC9_BIFLS	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01;uniprotkb_proteome_UP000001360_Bifidobacterium_longum_2026_02_01	2	18113,26953125	28813,955078125	28043,994140625	41255,93359375	31071,42578125	50861,28125	NaN	NaN	NaN	4579,8;4996,1	4214,5;4597,6	4627,8;5048,6	6073,6;6625,8	5353,1;5839,7	7110,3;7756,7	NaN	NaN	NaN
